Lifnr,Land1,Name1,Name2,Name3,Name4,Ort01,Ort02,Pfach,Pstl2,Pstlz,Regio,Sortl,Stras,Adrnr,Mcod1,Mcod2,Mcod3,Anred,Bahns,Bbbnr,Bbsnr,Begru,Brsch,Bubkz,Datlt,Dtams,Dtaws,Erdat,Ernam,Esrnr,Konzs,Ktokk,Kunnr,Lnrza,Loevm,Sperr,Sperm,Spras,Stcd1,Stcd2,Stkza,Stkzu,Telbx,Telf1,Telf2,Telfx,Teltx,Telx1,Xcpdk,Xzemp,Vbund,Fiskn,Stceg,Stkzn,Sperq,Gbort,Gbdat,Sexkz,Kraus,Revdb,Qssys,Ktock,Pfort,Werks,Ltsna,Werkr,Plkal,Duefl,Txjcd,Sperz,Scacd,Sfrgr,Lzone,Xlfza,Dlgrp,Fityp,Stcdt,Regss,Actss,Stcd3,Stcd4,Stcd5,Stcd6,Ipisp,Taxbs,Profs,Stgdl,Emnfr,Lfurl,J1kfrepre,J1kftbus,J1kftind,Confs,Updat,Uptim,Nodel,Qssysdat,Podkzb,Fisku,Stenr,CarrierConf,MinComp,TermLi,CrcNum,CvpXblck,Rg,Exp,Uf,Rgdate,Ric,Rne,Rnedate,Cnae,Legalnat,Crtn,Icmstaxpay,Indtyp,Tdt,Comsize,Decregpc,JScCapital,JScCurrency,Alc,PmtOffice,PpaRelevant,SamUeId,SamEftInd,Psofg,Psois,Pson1,Pson2,Pson3,Psovn,Psotl,Psohs,Psost,EntyCd,ResCntry,ResRegion,Ccode,TransportChain,StagingTime,SchedulingType,SubmiRelevant
6,US,Jabra Industries,,,,Katy,,,,77435,TX,JABRA INDU,864 Pimlico Pine Lane,23052,JABRA INDUSTRIES,,KATY,Company,,0000000,00000,,,0,,,,/Date(1726185600000)/,ARAVIND,,,0009,,,False,False,False,EN,,,,False,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,X,,False,,,,False,,,,False,,,,,,False,0,,,,,,,,,,PT00H00M00S,False,,,,,,False,False,,,,,,,00000000000,,,,0000,,,,,,,0.00,,,,False,,,,,,,,,,,,,,,,,0,,False
100005,US,Jabra Industries,,,,Houston,,,,77036-3322,TX,JABRA INDU, 6001 Savoy Dr Ste 210,23053,JABRA INDUSTRIES,,KATY,Company,,0000000,00000,,,0,,,,/Date(1726444800000)/,ARAVIND,,,KRED,,,False,False,False,EN,,,,False,,713-682-1857,,,,,False,False,,,,,,,,,,,,,,,False,False,,X,,False,,,,False,,,,False,,,,,,False,0,,,,,,,,,,PT00H00M00S,False,,,,,,False,False,,,,,,,00000000000,,,,0000,,,,,,,0.00,,,,False,,,,,,,,,,,,,,,,,0,,False
100006,US,GAIL Gas Limited,,,,Lafayette,,,,70508-2172,LA,GAIL,2110 SW Evangeline Thruway,23054,GAIL GAS LIMITED,,HOUSTON,Company,,0000000,00000,,,0,,,,/Date(1726444800000)/,ARAVIND,,,KRED,,,False,False,False,EN,,,,False,,9080788008,,,,,False,False,,,,,,,,,,,,,,,False,False,,X,,False,,,,False,,,,False,,,,,,False,0,,,,,,,,,,PT00H00M00S,False,,,,,,False,False,,,,,,,00000000000,,,,0000,,,,,,,0.00,,,,False,,,,,,,,,,,,,,,,,0,,False
100007,US,Oil and Natural Gas Corporation,,,,katy,,,,77435,TX,OIL AND NA,"259 N, Longview",23055,OIL AND NATURAL GAS CORPO,,KATY,Company,,0000000,00000,,,0,,,,/Date(1726444800000)/,ARAVIND,,,KRED,,,False,False,False,EN,,,,False,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,X,,False,,,,False,,,,False,,,,,,False,0,,,,,,,,,,PT00H00M00S,False,,,,,,False,False,,,,,,,00000000000,,,,0000,,,,,,,0.00,,,,False,,,,,,,,,,,,,,,,,0,,False
100008,US,Mike,Tyson,,,Houston,,,,77036,TX,MIKE,Central Park,23073,MIKE,TYSON,HOUSTON,Mr.,,0000000,00000,,,0,,,,/Date(1731974400000)/,SRIDEVAN,,,KRED,,,False,False,False,EN,,,,False,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,X,,False,,,,False,,,,False,,,,,,False,0,,,,,,,,,,PT00H00M00S,False,,,,,,False,False,,,,,,,00000000000,,,,0000,,,,,,,0.00,,,,False,,,,,,,,,,,,,,,,,0,,False
7,US,Talos Energy,,,,TX 77002,,,,77002,TX,TALOS ENER,"333 Clay St Ste 3300, Houston,",23080,TALOS ENERGY,,TX 77002,Company,,0000000,00000,,,0,,,,/Date(1737590400000)/,MANJUNATH,,,0009,,,False,False,False,EN,,,,False,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,X,,False,,,,False,,,,False,,,,,,False,0,,,,,,,,,,PT00H00M00S,False,,,,,,False,False,,,,,,,00000000000,,,,0000,,,,,,,0.00,,,,False,,,,,,,,,,,,,,,,,0,,False
100009,US,Chevron Corporation,,,,Houston,,,,77079,TX,CHEVRON,6001 Bollinger Canyon Rd,23082,CHEVRON CORPORATION,,HOUSTON,Company,,0000000,00000,,,0,,,,/Date(1737676800000)/,MANJUNATH,,,KRED,,,False,False,False,EN,,,,False,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,X,,False,,,,False,,,,False,,,,,,False,0,,,,,,,,,,PT00H00M00S,False,,,,,,False,False,,,,,,,00000000000,,,,0000,,,,,,,0.00,,,,False,,,,,,,,,,,,,,,,,0,,False
100010,US,EOG Resources,,,,Houston,,,,77002,TX,EOG RES,1111 Bagby Street Sky Lobby 2,23083,EOG RESOURCES,,HOUSTON,Company,,0000000,00000,,,0,,,,/Date(1737676800000)/,MANJUNATH,,,KRED,,,False,False,False,EN,,,,False,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,X,,False,,,,False,,,,False,,,,,,False,0,,,,,,,,,,PT00H00M00S,False,,,,,,False,False,,,,,,,00000000000,,,,0000,,,,,,,0.00,,,,False,,,,,,,,,,,,,,,,,0,,False
100000,US,APA Corporation,Apache Corporation,,,Houston,,,,77001,TX,APACHE COR,15 Green Street,22962,APA CORPORATION,APACHE CORPORATION,HOUSTON,,,0000000,00000,,,0,,,,/Date(1692748800000)/,SRIDEVAN,,,KRED,,,False,False,False,EN,,,,False,,713-682-1857,,,,,False,False,,,,,,,,,,,,,,,False,False,,X,,False,,,,False,,,,False,,,,,,False,0,,,,,,,,,,PT00H00M00S,False,,,,,,False,False,,,,,,,00000000000,,,,0000,,,,,,,0.00,,,,False,,,,,,,,,,,,,,,,,0,,False
100001,US,BP Oil and Gas,,,,Houston,,,,77001,TX,BP OIL AND,54875 Centeal Park,22964,BP OIL AND GAS,,HOUSTON,Company,,0000000,00000,,,0,,,,/Date(1692835200000)/,SRIDEVAN,,,KRED,,,False,False,False,EN,,,,False,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,X,,False,,,,False,,,,False,,,,,,False,0,,,,,,,,,,PT00H00M00S,False,,,,,,False,False,,,,,,,00000000000,,,,0000,,,,,,,0.00,,,,False,,,,,,,,,,,,,,,,,0,,False
