SearchTerm2,BusinessPartner,Country,OrganizationBPName1,OrganizationBPName2,OrganizationBPName3,OrganizationBPName4,CityName,District,POBox,POBoxPostalCode,PostalCode,Region,SearchTerm1,StreetName,AddressID,FormOfAddress,AuthorizationGroup,IndustrySector,CreationDate,CreatedByUser,BusinessPartnerGrouping,BusinessPartnerIsMarkedForDeletion,BusinessPartnerIsBlocked,CorrespondenceLanguage,POBoxDeviatingCityName,TaxJurisdiction,TransportationZone
JABRA INDUSTRIES KATY,0000000006,US,Jabra Industries,,,,Katy,,,,77435,TX,JABRA INDU,864 Pimlico Pine Lane,0000023052,Company,,,2024-09-13,ARAVIND,0009,,,EN,,,
JABRA INDUSTRIES KATY,0000100005,US,Jabra Industries,,,,Houston,,,,77036-3322,TX,JABRA INDU,6001 Savoy Dr Ste 210,0000023053,Company,,,2024-09-16,ARAVIND,KRED,,,EN,,,
GAIL GAS LIMITED HOUSTON,0000100006,US,GAIL Gas Limited,,,,Lafayette,,,,70508-2172,LA,GAIL,2110 SW Evangeline Thruway,0000023054,Company,,,2024-09-16,ARAVIND,KRED,,,EN,,,
OIL AND NATURAL GAS CORPO KATY,0000100007,US,Oil and Natural Gas Corporation,,,,Katy,,,,77435,TX,OIL AND NA,"259 N, Longview",0000023055,Company,,,2024-09-16,ARAVIND,KRED,,,EN,,,
MIKE TYSON HOUSTON,0000100008,US,Mike,Tyson,,,Houston,,,,77036,TX,MIKE,Central Park,0000023073,Mr.,,,2024-11-19,SRIDEVAN,KRED,,,EN,,,
TALOS ENERGY TX 77002,0000000007,US,Talos Energy,,,,Tx 77002,,,,77002,TX,TALOS ENER,"333 Clay St Ste 3300, Houston,",0000023080,Company,,,2025-01-23,MANJUNATH,0009,,,EN,,,
CHEVRON CORPORATION HOUSTON,0000100009,US,Chevron Corporation,,,,Houston,,,,77079,TX,CHEVRON,6001 Bollinger Canyon Rd,0000023082,Company,,,2025-01-24,MANJUNATH,KRED,,,EN,,,
EOG RESOURCES HOUSTON,0000100010,US,EOG Resources,,,,Houston,,,,77002,TX,EOG RES,1111 Bagby Street Sky Lobby 2,0000023083,Company,,,2025-01-24,MANJUNATH,KRED,,,EN,,,
APA CORPORATION APACHE CORPORATION HOUSTON,0000100000,US,APA Corporation,Apache Corporation,,,Houston,,,,77001,TX,APACHE COR,15 Green Street,0000022962,,,,2023-08-23,SRIDEVAN,KRED,,,EN,,,
BP OIL AND GAS HOUSTON,0000100001,US,BP Oil and Gas,,,,Houston,,,,77001,TX,BP OIL AND,54875 Centeal Park,0000022964,Company,,,2023-08-24,SRIDEVAN,KRED,,,EN,,,
CPV,0000CHEV00,US,CPV,,,,,,,,,CA,CPV,,0000022966,Company,,,2023-08-28,YUVARAJ,0001,,,EN,,,
CHEVY CHETTY KATY,0000000001,US,Chevy,Chetty,,,Houston,,,,77450,TX,CY,DETREHAN AVE,0000022967,Mr.,,,2023-08-28,VIMAL,0009,,,EN,,,
+
